,Twitter,NPS
1856,Just nice.,1
1857,Just nice.,2
1858,Wow,2
1859,Just nice.,1
1860,Omg so much fun with everyone,1
1861,Very strange,1
1862,I’m not really enjoying Black Card,0
1863,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
1864,Ok I am LOVING THIS,2
1865,I hate the ebanking I prefer mobile app,0
1866,Just nice.,2
1867,This was amazing.,2
1868,It is a no coincidence,2
1869,I hate the ebanking I prefer mobile app,0
1870,Just nice.,1
1871,something,2
1872,Just nice.,2
1873,Ok I am LOVING THIS,2
1874,Just nice.,1
1875,I spent a couple of hours doing payment,2
1876,Ok I am LOVING THIS,2
1877,Ok I am LOVING THIS,2
1878,Ok I am LOVING THIS,2
1879,Ok I am LOVING THIS,2
1880,Appreciated you attention in the contact center,2
1881,Appreciate the conversations  and actions brought together in new things with your products and service.,1
1882,Ok I am LOVING THIS,0
1883,Ok I am LOVING THIS,1
1884,I hate the ebanking I prefer mobile app,0
1885,As extremely amazing as this is,2
1886,I hate the ebanking I prefer mobile app,0
1887,I hate the ebanking I prefer mobile app,0
1888,Ok I am LOVING THIS,1
1889,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
1890,Amazing things are possible when we work together towards a better future!. .,1
1891,Just nice.,1
1892,Just nice.,2
1893,Wow,2
1894,Just nice.,1
1895,Omg so much fun with everyone,2
1896,Very strange,2
1897,I hate the ebanking I prefer mobile app,0
1898,"Yes, I have to give Call of Duty a break because this shit looks lit!",1
1899,Ok I am LOVING THIS,2
1900,Such good news,1
1901,Just nice.,2
1902,I hate the ebanking I prefer mobile app,0
1903,It is a no coincidence,2
1904,Ok I am LOVING THIS,1
1905,Just nice.,2
1906,something,2
1907,Just nice.,2
1908,Ok I am LOVING THIS,2
1909,Just nice.,1
1910,I spent a couple of hours doing payment,2
1911,Ok I am LOVING THIS,2
1912,Ok I am LOVING THIS,2
1913,Ok I am LOVING THIS,1
1914,Ok I am LOVING THIS,1
1915,I hate the ebanking I prefer mobile app,0
1916,Appreciate the conversations  and actions brought together in new things with your products and service.,2
1917,Ok I am LOVING THIS,2
1918,Ok I am LOVING THIS,2
1919,As amazing of this is,2
1920,As extremely amazing as this is,0
1921,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,1
1922,Ok I am LOVING THIS,2
1923,Ok I am LOVING THIS,2
1924,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
1925,Amazing things are possible when we work together towards a better future!. .,2
1926,Just nice.,1
1927,I hate the ebanking I prefer mobile app,0
1928,Wow,1
1929,Just nice.,2
1930,Omg so much fun with everyone,2
1931,Very strange,0
1932,I’m really enjoying Black Card,1
1933,"Yes, I have to give Call of Duty a break because this shit looks lit!",1
1934,Ok I am LOVING THIS,2
1935,Such good news,2
1936,Just nice.,1
1937,This was amazing.,2
1938,It is a no coincidence,2
1939,Ok I am LOVING THIS,2
1940,Just nice.,1
1941,something,1
1942,Just nice.,2
1943,Ok I am LOVING THIS,2
1944,Just nice.,2
1945,I spent a couple of hours doing payment,2
1946,Ok I am LOVING THIS,2
1947,Ok I am LOVING THIS,2
1948,Ok I am LOVING THIS,2
1949,Ok I am LOVING THIS,2
1950,I hate the ebanking I prefer mobile app,0
1951,Appreciate the conversations  and actions brought together in new things with your products and service.,1
1952,Ok I am LOVING THIS,2
1953,Ok I am LOVING THIS,2
1954,As amazing of this is,2
1955,As extremely amazing as this is,2
1956,I hate the ebanking I prefer mobile app,0
1957,Ok I am LOVING THIS,2
1958,Ok I am LOVING THIS,2
1959,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
1960,Amazing things are possible when we work together towards a better future!. .,1
1961,I hate the ebanking I prefer mobile app,0
1962,Just nice.,0
1963,Wow,2
1964,Just nice.,2
1965,Omg so much fun with everyone,2
1966,Very strange,2
1967,I hate the ebanking I prefer mobile app,0
1968,I hate the ebanking I prefer mobile app,0
1969,Ok I am LOVING THIS,2
1970,Such good news,2
1971,Just nice.,1
1972,This was amazing.,2
1973,I hate the ebanking I prefer mobile app,0
1974,I hate the ebanking I prefer mobile app,0
1975,Just nice.,2
1976,I hate the ebanking I prefer mobile app,0
1977,Just nice.,2
1978,Ok I am LOVING THIS,2
1979,Just nice.,2
1980,I spent a couple of hours doing payment,0
1981,Ok I am LOVING THIS,2
1982,I hate that service in this bank,0
1983,I hate the mobile app it doesn’t work very well,0
1984,Ok I am LOVING THIS,0
1985,Appreciated you attention in the contact center,2
1986,I hate the ebanking I prefer mobile app,0
1987,I hate the ebanking I prefer mobile app,0
1988,I hate the ebanking I prefer mobile app,0
1989,As amazing of this is,2
1990,As extremely amazing as this is,2
1991,I hate the ebanking I prefer mobile app,0
1992,Ok I am LOVING THIS,2
1993,Ok I am LOVING THIS,2
1994,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
1995,Amazing things are possible when we work together towards a better future!. .,2
1996,I hate the ebanking I prefer mobile app,0
1997,I hate the ebanking I prefer mobile app,0
1998,Wow,1
1999,Just nice.,2
2000,Omg so much fun with everyone,2
2001,Very strange,2
2002,I’m not  really enjoying Black Card,0
2003,"Yes, I have to give Call of Duty a break because this shit looks lit!",0
2004,I hate the ebanking I prefer mobile app,0
2005,Such good news,2
2006,Just nice.,2
2007,This was amazing.,1
2008,I hate the ebanking I prefer mobile app,0
2009,Ok I am LOVING THIS,2
2010,I hate the ebanking I prefer mobile app,0
2011,something,2
2012,Just nice.,2
2013,Ok I am LOVING THIS,2
2014,Just nice.,2
2015,I hate the ebanking I prefer mobile app,0
2016,Ok I am LOVING THIS,2
2017,I hate the ebanking I prefer mobile app,0
2018,Ok I am LOVING THIS,2
2019,Ok I am LOVING THIS,2
2020,Appreciated you attention in the contact center,1
2021,I hate the ebanking I prefer mobile app,0
2022,Ok I am LOVING THIS,2
2023,Ok I am LOVING THIS,2
2024,As amazing of this is,2
2025,As extremely amazing as this is,2
2026,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
2027,Ok I am LOVING THIS,2
2028,Ok I am LOVING THIS,2
2029,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
2030,Amazing things are possible when we work together towards a better future!. .,1
2031,Just nice.,2
2032,Just nice.,2
2033,I hate the ebanking I prefer mobile app,0
2034,Just nice.,2
2035,Omg so much fun with everyone,2
2036,Very strange,2
2037,I hate the ebanking I prefer mobile app,0
2038,"Yes, I have to give Call of Duty a break because this shit looks lit!",1
2039,Ok I am LOVING THIS,0
2040,I hate the ebanking I prefer mobile app,0
2041,Just nice.,1
2042,This was amazing.,2
2043,It is a no coincidence,2
2044,I hate the ebanking I prefer mobile app,0
2045,I hate the ebanking I prefer mobile app,0
2046,I hate the ebanking I prefer mobile app,0
2047,I hate the ebanking I prefer mobile app,0
2048,Ok I am LOVING THIS,0
2049,Just nice.,2
2050,I spent a couple of hours doing payment,1
2051,Ok I am LOVING THIS,2
2052,I hate the ebanking I prefer mobile app,0
2053,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
2054,Ok I am LOVING THIS,2
2055,Such good news,2
2056,Just nice.,2
2057,This was amazing.,2
2058,It is a no coincidence,2
2059,I’m really enjoying Black Card,2
2060,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
2061,Ok I am LOVING THIS,2
2062,Such good news,2
2063,Just nice.,1
2064,I hate the ebanking I prefer mobile app,0
2065,I hate the ebanking I prefer mobile app,0
2066,I hate the ebanking I prefer mobile app,0
2067,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
2068,Ok I am LOVING THIS,0
2069,I hate the ebanking I prefer mobile app,0
2070,Just nice.,2
2071,This was amazing.,2
2072,It is a no coincidence,2
2073,Ok I am LOVING THIS,2
2074,Just nice.,1
2075,I spent a couple of hours doing payment,1
2076,Ok I am LOVING THIS,2
2077,Ok I am LOVING THIS,2
2078,Ok I am LOVING THIS,2
2079,Ok I am LOVING THIS,2
2080,Appreciated you attention in the contact center,2
2081,Appreciate the conversations  and actions brought together in new things with your products and service.,2
2082,Ok I am LOVING THIS,2
2083,Ok I am LOVING THIS,2
2084,As amazing of this is,2
2085,As extremely amazing as this is,2
2086,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
2087,Ok I am LOVING THIS,2
2088,Ok I am LOVING THIS,2
2089,Just nice.,2
2090,I spent a couple of hours doing payment,2
2091,Ok I am LOVING THIS,2
2092,Ok I am LOVING THIS,2
2093,I hate the mobile app it doesn’t work very well,0
2094,I hate the mobile app it doesn’t work very well,0
2095,Appreciated you attention in the contact center,0
2096,Appreciate the conversations  and actions brought together in new things with your products and service.,1
2097,I hate the mobile app it doesn’t work very well,0
2098,I hate the mobile app it doesn’t work very well,0
2099,I hate the mobile app it doesn’t work very well,0
2100,I hate the mobile app it doesn’t work very well,0
2101,I hate the mobile app it doesn’t work very well,0
2102,Ok I am LOVING THIS,2
2103,I hate the mobile app it doesn’t work very well,0
2104,I hate the mobile app it doesn’t work very well,0
2105,I spent a couple of hours doing payment,0
2106,I hate the ebanking I prefer mobile app,0
2107,I hate that service in this bank,0
2108,I hate the mobile app it doesn’t work very well,0
2109,I don't like it,0
2110,Appreciated you attention in the contact center,1
2111,I hate the mobile app it doesn’t work very well,0
2112,Ok I am LOVING THIS,2
2113,Ok I am LOVING THIS,2
2114,As amazing of this is,1
2115,I hate the mobile app it doesn’t work very well,0
2116,I hate the mobile app it doesn’t work very well,0
2117,Ok I am LOVING THIS,2
2118,I hate the mobile app it doesn’t work very well,0
2119,I hate the mobile app it doesn’t work very well,0
2120,I spent a couple of hours doing payment,2
2121,Ok I am LOVING THIS,2
2122,I hate that service in this bank,0
2123,I hate the mobile app it doesn’t work very well,0
2124,Ok I am LOVING THIS,2
2125,Appreciated you attention in the contact center,2
2126,Appreciate the conversations  and actions brought together in new things with your products and service.,1
2127,I hate the mobile app it doesn’t work very well,0
2128,I hate the mobile app it doesn’t work very well,0
2129,As amazing of this is,2
2130,As extremely amazing as this is,0
2131,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,0
2132,I hate the mobile app it doesn’t work very well,0
2133,I hate the mobile app it doesn’t work very well,0
2134,I hate the mobile app it doesn’t work very well,0
2135,I spent a couple of hours doing payment,2
2136,Ok I am LOVING THIS,1
2137,I hate that service in this bank,0
2138,Ok I am LOVING THIS,2
2139,Ok I am LOVING THIS,2
2140,Appreciated you attention in the contact center,0
2141,Appreciate the conversations  and actions brought together in new things with your products and service.,2
2142,I hate the mobile app it doesn’t work very well,0
2143,I hate the mobile app it doesn’t work very well,0
2144,As amazing of this is,2
2145,I hate the mobile app it doesn’t work very well,0
2146,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
2147,Ok I am LOVING THIS,2
2148,Ok I am LOVING THIS,2
2149,I’m not really enjoying Black Card,0
2150,"Yes, I have to give Call of Duty a break because this shit looks lit!",0
2151,I hate the mobile app it doesn’t work very well,0
2152,Such good news,2
2153,I hate the mobile app it doesn’t work very well,0
2154,This was amazing.,2
2155,It is a no coincidence,1
2156,I hate the mobile app it doesn’t work very well,0
2157,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
2158,I hate the mobile app it doesn’t work very well,0
2159,I hate the mobile app it doesn’t work very well,0
2160,Just nice.,1
2161,This was amazing.,1
2162,I hate the mobile app it doesn’t work very well,0
2163,I’m really enjoying Black Card,1
2164,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
2165,Ok I am LOVING THIS,1
2166,I hate the mobile app it doesn’t work very well,0
2167,I hate the mobile app it doesn’t work very well,0
2168,I’m really enjoying Black Card,2
2169,I hate the mobile app it doesn’t work very well,0
2170,Ok I am LOVING THIS,2
2171,Such good news,2
2172,Just nice.,2
2173,This was amazing.,2
2174,It is a no coincidence,0
2175,I’m really enjoying Black Card,2
2176,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
2177,Ok I am LOVING THIS,2
2178,Such good news,2
2179,Just nice.,2
2180,This was amazing.,0
2181,It is a no coincidence,0
2182,I’m really enjoying Black Card,2
2183,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
2184,Ok I am LOVING THIS,2
2185,Such good news,2
2186,Ok I am LOVING THIS,2
2187,I’m really enjoying Black Card,2
2188,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
2189,Ok I am LOVING THIS,2
2190,Such good news,2
2191,Just nice.,2
2192,This was amazing.,2
2193,It is a no coincidence,2
2194,I’m really enjoying Black Card,1
2195,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
2196,Ok I am LOVING THIS,2
2197,Such good news,2
2198,Just nice.,2
2199,This was amazing.,2
2200,It is a no coincidence,2
2201,I’m really enjoying Black Card,0
2202,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
2203,I hate the mobile app it doesn’t work very well,0
2204,I hate the mobile app it doesn’t work very well,0
2205,I hate the ebanking I prefer mobile app,0
2206,I’m really enjoying Black Card,2
2207,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
2208,I hate the mobile app it doesn’t work very well,0
2209,I hate the mobile app it doesn’t work very well,0
2210,I hate the mobile app it doesn’t work very well,0
2211,This was amazing.,2
2212,It is a no coincidence,2
2213,I’m really enjoying Black Card,2
2214,I hate the mobile app it doesn’t work very well,0
2215,I don't like it,0
2216,Such good news,2
2217,Just nice.,2
2218,This was amazing.,2
2219,It is a no coincidence,0
2220,I’m really enjoying Black Card,0
2221,I hate the mobile app it doesn’t work very well,0
2222,Ok I am LOVING THIS,2
2223,Such good news,2
2224,I hate the mobile app it doesn’t work very well,0
2225,Ok I am LOVING THIS,2
2226,Ok I am LOVING THIS,2
2227,I hate the mobile app it doesn’t work very well,0
2228,Appreciate the conversations  and actions brought together in new things with your products and service.,2
2229,Ok I am LOVING THIS,1
2230,I hate the mobile app it doesn’t work very well,0
2231,As amazing of this is,2
2232,As extremely amazing as this is,2
2233,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
2234,I hate the mobile app it doesn’t work very well,0
2235,Ok I am LOVING THIS,2
2236,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
2237,Amazing things are possible when we work together towards a better future!. .,2
2238,Just nice.,2
2239,Just nice.,2
2240,Wow,2
2241,I hate the mobile app it doesn’t work very well,0
2242,Omg so much fun with everyone,2
2243,Very strange,2
2244,I’m really enjoying Black Card,1
2245,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
2246,Ok I am LOVING THIS,2
2247,Such good news,2
2248,Just nice.,2
2249,This was amazing.,2
2250,I hate the mobile app it doesn’t work very well,0
2251,Ok I am LOVING THIS,2
2252,I hate the mobile app it doesn’t work very well,0
2253,I hate the mobile app it doesn’t work very well,0
2254,Just nice.,2
2255,Ok I am LOVING THIS,2
2256,I hate the mobile app it doesn’t work very well,0
2257,I spent a couple of hours doing payment,1
2258,Ok I am LOVING THIS,1
2259,Ok I am LOVING THIS,2
2260,Ok I am LOVING THIS,2
2261,Ok I am LOVING THIS,2
2262,Appreciated you attention in the contact center,2
2263,I hate the mobile app it doesn’t work very well,0
2264,Ok I am LOVING THIS,2
2265,Ok I am LOVING THIS,2
2266,As amazing of this is,2
2267,As extremely amazing as this is,2
2268,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
2269,Ok I am LOVING THIS,2
2270,Ok I am LOVING THIS,2
2271,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
2272,Amazing things are possible when we work together towards a better future!. .,2
2273,I hate the mobile app it doesn’t work very well,0
2274,Just nice.,2
2275,I hate the mobile app it doesn’t work very well,0
2276,Just nice.,2
2277,Omg so much fun with everyone,2
2278,Very strange,2
2279,I’m really enjoying Black Card,1
2280,I hate the mobile app it doesn’t work very well,0
2281,Ok I am LOVING THIS,2
2282,I hate the mobile app it doesn’t work very well,0
2283,Just nice.,1
2284,I hate the mobile app it doesn’t work very well,0
2285,It is a no coincidence,2
2286,I hate the mobile app it doesn’t work very well,0
2287,Just nice.,2
2288,something,1
2289,Just nice.,2
2290,Ok I am LOVING THIS,2
2291,Just nice.,2
2292,I spent a couple of hours doing payment,2
2293,Ok I am LOVING THIS,2
2294,Ok I am LOVING THIS,2
2295,Ok I am LOVING THIS,2
2296,Ok I am LOVING THIS,2
2297,Appreciated you attention in the contact center,2
2298,Appreciate the conversations  and actions brought together in new things with your products and service.,2
2299,Ok I am LOVING THIS,1
2300,Ok I am LOVING THIS,2
2301,I hate the mobile app it doesn’t work very well,0
2302,I hate the mobile app it doesn’t work very well,0
2303,I hate the mobile app it doesn’t work very well,0
2304,Ok I am LOVING THIS,2
2305,Ok I am LOVING THIS,2
2306,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
2307,Amazing things are possible when we work together towards a better future!. .,2
2308,I hate the mobile app it doesn’t work very well,0
2309,Just nice.,2
2310,Wow,2
2311,Just nice.,2
2312,Omg so much fun with everyone,2
2313,I hate the mobile app it doesn’t work very well,0
2314,I hate the mobile app it doesn’t work very well,0
2315,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
2316,Ok I am LOVING THIS,2
2317,Such good news,2
2318,Just nice.,1
2319,This was amazing.,2
2320,I hate the mobile app it doesn’t work very well,0
2321,I hate the mobile app it doesn’t work very well,0
2322,Just nice.,2
2323,something,2
2324,I hate the mobile app it doesn’t work very well,0
2325,Ok I am LOVING THIS,2
2326,Just nice.,2
2327,I spent a couple of hours doing payment,2
2328,Ok I am LOVING THIS,2
2329,I hate the mobile app it doesn’t work very well,0
2330,Ok I am LOVING THIS,2
2331,Ok I am LOVING THIS,2
2332,Appreciated you attention in the contact center,2
2333,Appreciate the conversations  and actions brought together in new things with your products and service.,2
2334,I hate the mobile app it doesn’t work very well,0
2335,Ok I am LOVING THIS,2
2336,As amazing of this is,2
2337,I hate the mobile app it doesn’t work very well,0
2338,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
2339,Ok I am LOVING THIS,2
2340,Ok I am LOVING THIS,2
2341,I hate the mobile app it doesn’t work very well,0
2342,Amazing things are possible when we work together towards a better future!. .,2
2343,Just nice.,2
2344,Just nice.,2
2345,Wow,2
2346,I hate the mobile app it doesn’t work very well,0
2347,I hate the mobile app it doesn’t work very well,0
2348,Very strange,1
2349,I’m really enjoying Black Card,2
2350,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
2351,I hate the mobile app it doesn’t work very well,0
2352,Such good news,2
2353,Just nice.,2
2354,I hate the mobile app it doesn’t work very well,0
2355,It is a no coincidence,2
2356,Ok I am LOVING THIS,2
2357,Just nice.,2
2358,something,2
2359,Just nice.,2
2360,Ok I am LOVING THIS,1
2361,I hate the mobile app it doesn’t work very well,0
2362,I spent a couple of hours doing payment,1
2363,Ok I am LOVING THIS,2
2364,I hate the mobile app it doesn’t work very well,0
2365,I hate the mobile app it doesn’t work very well,0
2366,Ok I am LOVING THIS,2
2367,I hate the mobile app it doesn’t work very well,0
2368,Appreciate the conversations  and actions brought together in new things with your products and service.,2
2369,I hate the mobile app it doesn’t work very well,0
2370,Ok I am LOVING THIS,2
2371,As amazing of this is,2
2372,As extremely amazing as this is,2
2373,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,1
2374,Ok I am LOVING THIS,2
2375,Ok I am LOVING THIS,2
2376,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",1
2377,Amazing things are possible when we work together towards a better future!. .,2
2378,I hate the mobile app it doesn’t work very well,0
2379,Just nice.,2
2380,Wow,2
2381,I hate the mobile app it doesn’t work very well,0
2382,Omg so much fun with everyone,2
2383,I hate the mobile app it doesn’t work very well,0
2384,I’m really enjoying Black Card,2
2385,"Yes, I have to give Call of Duty a break because this shit looks lit!",0
2386,Ok I am LOVING THIS,1
2387,Such good news,2
2388,I hate the mobile app it doesn’t work very well,0
2389,This was amazing.,2
2390,It is a no coincidence,2
2391,Ok I am LOVING THIS,1
2392,Just nice.,2
2393,something,2
2394,I hate the mobile app it doesn’t work very well,0
2395,I hate the mobile app it doesn’t work very well,0
2396,Just nice.,1
2397,I spent a couple of hours doing payment,2
2398,Ok I am LOVING THIS,2
2399,I hate the mobile app it doesn’t work very well,0
2400,Ok I am LOVING THIS,2
2401,Ok I am LOVING THIS,2
2402,Appreciated you attention in the contact center,2
2403,Appreciate the conversations  and actions brought together in new things with your products and service.,2
2404,Ok I am LOVING THIS,1
2405,Ok I am LOVING THIS,2
2406,As amazing of this is,1
2407,As extremely amazing as this is,2
2408,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
2409,Ok I am LOVING THIS,1
2410,Ok I am LOVING THIS,2
2411,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
2412,Amazing things are possible when we work together towards a better future!. .,2
2413,I hate the mobile app it doesn’t work very well,0
2414,Just nice.,2
2415,Wow,2
2416,I hate the mobile app it doesn’t work very well,0
2417,Omg so much fun with everyone,2
2418,Very strange,2
2419,I’m really enjoying Black Card,2
2420,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
2421,Ok I am LOVING THIS,2
2422,Such good news,0
2423,Just nice.,2
2424,This was amazing.,2
2425,It is a no coincidence,2
2426,Ok I am LOVING THIS,0
2427,Just nice.,1
2428,I hate the mobile app it doesn’t work very well,0
2429,Just nice.,0
2430,Ok I am LOVING THIS,1
2431,Just nice.,2
2432,I spent a couple of hours doing payment,2
2433,Ok I am LOVING THIS,1
2434,Ok I am LOVING THIS,2
2435,I hate the mobile app it doesn’t work very well,0
2436,I hate the mobile app it doesn’t work very well,0
2437,Appreciated you attention in the contact center,2
2438,Appreciate the conversations  and actions brought together in new things with your products and service.,2
2439,Ok I am LOVING THIS,2
2440,Ok I am LOVING THIS,2
2441,I hate the mobile app it doesn’t work very well,0
2442,As extremely amazing as this is,2
2443,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
2444,Ok I am LOVING THIS,2
2445,Ok I am LOVING THIS,2
2446,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
2447,Amazing things are possible when we work together towards a better future!. .,2
2448,Just nice.,2
2449,Just nice.,2
2450,Wow,2
2451,I hate the mobile app it doesn’t work very well,0
2452,Omg so much fun with everyone,2
2453,Very strange,2
2454,I’m really enjoying Black Card,2
2455,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
2456,Ok I am LOVING THIS,2
2457,I hate the mobile app it doesn’t work very well,0
2458,Just nice.,2
2459,This was amazing.,2
2460,I hate the mobile app it doesn’t work very well,0
2461,Ok I am LOVING THIS,2
2462,Just nice.,2
2463,I hate the mobile app it doesn’t work very well,0
2464,Just nice.,2
2465,Ok I am LOVING THIS,2
2466,Just nice.,0
2467,I spent a couple of hours doing payment,2
2468,Ok I am LOVING THIS,2
2469,Ok I am LOVING THIS,2
2470,Ok I am LOVING THIS,1
2471,I hate the mobile app it doesn’t work very well,0
2472,I hate the mobile app it doesn’t work very well,0
2473,Appreciate the conversations  and actions brought together in new things with your products and service.,2
2474,Ok I am LOVING THIS,2
2475,I hate the mobile app it doesn’t work very well,0
2476,As amazing of this is,0
2477,As extremely amazing as this is,2
2478,I hate the mobile app it doesn’t work very well,0
2479,I hate the mobile app it doesn’t work very well,0
2480,Congratulations,0
2481,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
2482,Amazing things are possible when we work together towards a better future!. .,0
2483,Just nice.,2
2484,Just nice.,0
2485,Wow,2
2486,Just nice.,0
2487,Omg so much fun with everyone,2
2488,Very strange,2
2489,I’m really enjoying Black Card,2
2490,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
2491,Ok I am LOVING THIS,2
2492,Such good news,2
2493,I’m not really enjoying Black Card,0
2494,This was amazing.,2
2495,It is a no coincidence,2
2496,Ok I am LOVING THIS,1
2497,Just nice.,2
2498,something,2
2499,I’m not really enjoying Black Card,0
2500,Ok I am LOVING THIS,2
2501,Just nice.,2
2502,I spent a couple of hours doing payment,2
2503,Ok I am LOVING THIS,1
2504,I’m really enjoying Black Card,2
2505,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
2506,Ok I am LOVING THIS,2
2507,Such good news,2
2508,I’m not really enjoying Black Card,0
2509,This was amazing.,2
2510,It is a no coincidence,2
2511,I’m really enjoying Black Card,1
2512,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
2513,Ok I am LOVING THIS,1
2514,Such good news,2
2515,I’m not really enjoying Black Card,0
2516,This was amazing.,2
2517,It is a no coincidence,0
2518,I’m really enjoying Black Card,2
2519,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
2520,Ok I am LOVING THIS,2
2521,I’m not really enjoying Black Card,0
2522,Just nice.,2
2523,This was amazing.,2
2524,I’m not really enjoying Black Card,0
2525,Ok I am LOVING THIS,2
2526,I’m not really enjoying Black Card,0
2527,I’m not really enjoying Black Card,0
2528,Ok I am LOVING THIS,2
2529,Ok I am LOVING THIS,2
2530,Ok I am LOVING THIS,2
2531,Ok I am LOVING THIS,2
2532,Appreciated you attention in the contact center,2
2533,Appreciate the conversations  and actions brought together in new things with your products and service.,1
2534,Ok I am LOVING THIS,0
2535,I’m not really enjoying Black Card,0
2536,As amazing of this is,2
2537,As extremely amazing as this is,2
2538,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,1
2539,I’m not really enjoying Black Card,0
2540,Ok I am LOVING THIS,1
2541,I’m not really enjoying Black Card,0
2542,I spent a couple of hours doing payment,2
2543,Ok I am LOVING THIS,2
2544,I’m not really enjoying Black Card,0
2545,Ok I am LOVING THIS,2
2546,Ok I am LOVING THIS,2
2547,I’m not really enjoying Black Card,0
2548,Appreciate the conversations  and actions brought together in new things with your products and service.,2
2549,Ok I am LOVING THIS,2
2550,Ok I am LOVING THIS,2
2551,As amazing of this is,2
2552,I’m not really enjoying Black Card,0
2553,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
2554,Ok I am LOVING THIS,2
2555,Ok I am LOVING THIS,2
2556,I’m not really enjoying Black Card,0
2557,I’m not really enjoying Black Card,0
2558,I’m not really enjoying Black Card,0
2559,Ok I am LOVING THIS,2
2560,I’m not really enjoying Black Card,0
2561,Ok I am LOVING THIS,2
2562,Appreciated you attention in the contact center,2
2563,Appreciate the conversations  and actions brought together in new things with your products and service.,2
2564,Ok I am LOVING THIS,2
2565,Ok I am LOVING THIS,2
2566,As amazing of this is,2
2567,I’m not really enjoying Black Card,0
2568,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
2569,I’m not really enjoying Black Card,0
2570,Ok I am LOVING THIS,2
2571,Just nice.,2
2572,I spent a couple of hours doing payment,0
2573,I hate the ebanking I prefer mobile app,0
2574,Ok I am LOVING THIS,2
2575,Ok I am LOVING THIS,2
2576,Ok I am LOVING THIS,2
2577,Appreciated you attention in the contact center,2
2578,Appreciate the conversations  and actions brought together in new things with your products and service.,2
2579,Ok I am LOVING THIS,2
2580,Ok I am LOVING THIS,2
2581,As amazing of this is,1
2582,I’m not really enjoying Black Card,0
2583,Ok I am LOVING THIS,2
2584,Ok I am LOVING THIS,2
2585,I’m not really enjoying Black Card,0
2586,I’m not really enjoying Black Card,0
2587,Ok I am LOVING THIS,1
2588,Ok I am LOVING THIS,2
2589,Ok I am LOVING THIS,2
2590,Ok I am LOVING THIS,2
2591,I’m not really enjoying Black Card,0
2592,Ok I am LOVING THIS,2
2593,Ok I am LOVING THIS,2
2594,I’m not really enjoying Black Card,0
2595,Ok I am LOVING THIS,0
2596,Ok I am LOVING THIS,2
2597,Ok I am LOVING THIS,2
2598,I’m not really enjoying Black Card,0
